name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Linyi,1/1/22,7.8,-6.4,0.1,7,-8.3,-2.2,-6.2,65.3,0,0,0,,,,19.4,13.3,178.9,1031.3,13.4,5.3,132.3,11.3,5,,2022-01-01T07:45:23,2022-01-01T17:35:31,0.99,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,1/2/22,9.1,-4.5,0.8,6.1,-9.4,-2.3,-6.4,63.2,0,0,0,,,,43.2,23.4,102.6,1026.9,0,7.1,129.3,11,5,,2022-01-02T07:45:34,2022-01-02T17:36:18,1,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,1/3/22,7.1,-5.1,0.5,6,-5.6,-0.6,-5.4,67.2,0,0,0,,,,36.4,9.7,217.9,1027.2,4.8,5.9,124.6,10.7,5,,2022-01-03T07:45:43,2022-01-03T17:37:05,0,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,1/4/22,4.6,-2.9,0.2,2.7,-5,-2.7,-4,75.5,0.6,100,25,"rain,snow",,,24.5,14.8,86.4,1027,60.5,5.5,40.5,3.4,2,,2022-01-04T07:45:50,2022-01-04T17:37:53,0.02,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"53959099999,remote"
Linyi,1/5/22,5.6,-3,0.7,3.5,-6.4,-2.1,-1.8,84.3,0.3,100,12.5,"rain,snow",,,24.5,14.8,101.2,1027.5,36.4,5.9,81.4,7.1,4,,2022-01-05T07:45:55,2022-01-05T17:38:43,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"53959099999,remote"
Linyi,1/6/22,4.8,-1.5,1.3,4.2,-5,-1.3,-1.5,82.2,0,0,0,,,,25.2,14.8,104.3,1032.1,45.1,6.8,99.6,8.6,4,,2022-01-06T07:45:58,2022-01-06T17:39:33,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,1/7/22,8.1,-1.6,1.9,7.4,-4.4,0.3,-1.6,78.9,0,0,0,,,,25.2,9,120.7,1031,35.9,7.5,113,9.7,5,,2022-01-07T07:45:59,2022-01-07T17:40:25,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,1/8/22,6.2,-1.4,1.6,6.1,-4.6,0.5,-1.1,83,0,0,0,,,,16.9,8.6,240.2,1028.7,45.8,4.9,70.8,6.1,3,,2022-01-08T07:45:59,2022-01-08T17:41:17,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,1/9/22,7.2,-2.9,1.5,6.7,-3.9,0.3,-1.7,80.7,0,0,0,,,,15.8,8.6,182.8,1024,19,4,121.9,10.4,5,,2022-01-09T07:45:56,2022-01-09T17:42:11,0.24,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,1/10/22,8.1,-1.8,2.4,5.2,-5.3,-0.5,-7,56.2,0,0,0,,0,0,44.6,23.8,279.1,1028.7,15,10.5,141.5,12.3,6,10,2022-01-10T07:45:52,2022-01-10T17:43:05,0.28,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,1/11/22,10.2,-4.4,1.8,10.2,-7.3,1.5,-10.5,41.4,0,0,0,,0,0,38.9,7.6,82.1,1026.2,2.4,18.7,141.2,12.2,5,10,2022-01-11T07:45:46,2022-01-11T17:44:00,0.33,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,1/12/22,7.7,-3.6,2.1,5.4,-6.6,-1.1,-10.4,41.7,0,0,0,,0,0,52.9,33.8,293.1,1027.9,23.1,18.6,132.4,11.5,5,10,2022-01-12T07:45:37,2022-01-12T17:44:56,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,1/13/22,5.6,-6.3,-0.5,4.4,-9.2,-2.7,-15.4,33,0,0,0,,0,0,37.4,17.3,109.3,1030.1,28.1,18.9,141.5,12.1,5,10,2022-01-13T07:45:27,2022-01-13T17:45:52,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,1/14/22,6.2,-2.4,1.1,5.3,-5.1,-0.7,-11.1,40.9,0,0,0,,0,0,19.4,12.6,156.8,1022.5,29.2,18.5,132.6,11.4,5,10,2022-01-14T07:45:15,2022-01-14T17:46:50,0.45,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"53959099999,remote"
Linyi,1/15/22,8.7,-4.9,2.5,7.7,-4.9,1.5,-8.7,46.5,0,0,0,,0,0,17.3,11.5,195.3,1025.1,39.5,18,125.9,11,4,10,2022-01-15T07:45:01,2022-01-15T17:47:47,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,1/16/22,9.1,-2.1,3.5,8.1,-5.5,2.4,-8.1,44.1,0,0,0,,0,0,18,8.6,119.4,1026.8,31.8,18.1,133.6,11.5,5,10,2022-01-16T07:44:45,2022-01-16T17:48:46,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,1/17/22,8.7,-3.4,2.8,8.7,-4.1,1.3,-9.7,43.5,0,0,0,,0,0,25.9,14,143.5,1029.7,3.6,17.9,144.9,12.4,5,10,2022-01-17T07:44:27,2022-01-17T17:49:45,0.5,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,1/18/22,8.7,-4.3,2.6,7.7,-6.1,1.7,-10.2,42.1,0,0,0,,0,0,17.3,11.9,143.8,1025.7,0.9,17.8,145.5,12.7,5,10,2022-01-18T07:44:08,2022-01-18T17:50:44,0.5,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,1/19/22,9.5,-4.3,3.5,7.1,-7.8,1,-8.3,44.6,0,0,0,,0,0,38.5,20.9,96.2,1023.8,0,17.7,148,12.8,5,10,2022-01-19T07:43:46,2022-01-19T17:51:44,0.52,Clear,Clear conditions throughout the day.,clear-day,"53959099999,remote"
Linyi,1/20/22,3.9,-2.7,0.6,-0.9,-8.1,-4.1,-5.5,63.9,0,0,0,,0,0,43.2,28.1,111.9,1024.7,23.7,18,128.9,11,5,10,2022-01-20T07:43:23,2022-01-20T17:52:44,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"53959099999,remote"
Linyi,1/21/22,0.2,-5.7,-2,-3.8,-9.4,-6.1,-4.7,83,0.9,100,8.33,"rain,snow",4.5,3.5,32,17.3,99.8,1025.7,62.2,8.6,71.4,6.3,3,10,2022-01-21T07:42:58,2022-01-21T17:53:44,0.56,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"53959099999,remote"
Linyi,1/22/22,4.7,-7.4,-0.9,2.1,-10.6,-3.5,-5,75.2,0.1,100,4.17,snow,0.2,1.7,24.1,15.5,101.2,1023.7,32.8,16.9,135,11.6,5,10,2022-01-22T07:42:31,2022-01-22T17:54:45,0.6,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"53959099999,remote"
Linyi,1/23/22,2.6,-2,0.4,2.1,-2.6,-0.4,-0.8,92.3,2.4,100,16.67,"rain,snow",1.2,0.9,21.6,9.7,150.5,1026.4,64.3,5.8,78.2,6.7,3,10,2022-01-23T07:42:02,2022-01-23T17:55:46,0.65,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"53959099999,remote"
